4.689809590973201921e+03 7.735401974612129550e+01 4.693653032440056450e+01
1.469839625167336089e+04 1.103360107095046914e+02 4.510174029451138011e+01
8.112655523255813932e+03 8.409302325581394655e+01 4.615843023255813904e+01
4.241917770034842761e+03 7.426689895470383362e+01 4.687317073170731874e+01
3.761129649309245451e+03 6.971519659936238611e+01 4.720085015940488660e+01
3.185801038062283624e+03 6.333391003460207713e+01 4.530276816608996882e+01
2.523094581280788134e+03 5.086896551724137794e+01 4.230935960591133238e+01
2.016596758817921909e+03 4.450142993326978313e+01 4.516491897044804915e+01
5.207301818181817907e+03 7.872727272727273373e+01 4.643818181818181756e+01
1.552746215494212038e+03 3.631166518254674713e+01 4.873285841495992798e+01
1.092545454545454504e+03 2.690394511149228052e+01 4.920240137221269094e+01
